Code;Category
CAB;Coral Acropora branching
CAD;Coral Acropora digitate
CAT;Coral Acropora tabular
CB;Coral branching 
H;Heliopora
M;Millepora
CF;Coral foliose
CM;Coral massive
CT;Coral Tubastrea
TR;Others Clams
CE;Coral encrusting
CA;Coralline Algae
CMR;Others Corallimorpharians
P;Others Palythoa
SA;Soft corals azooxanthellatae
SZ;Soft corals zooxanthellatae
FA;Fleshy Algae
SP;Sponges
TU;Others Tunicates
V;Others Fan & feather corals
W;Others Whip & wire corals
D;Dead coral
RK;Coral rock 
R;Coral rubble
S;Sand
BC;Bleached coral 
HCC;Hard corals
