"Tax_ID";"Category";"Group";"Family";"Genus";"Species"
"Abiotic";"Abiotic";NA;NA;NA;NA
"ACANTHASTREA";"Hard living coral";NA;"Lobophylliidae";"Acanthastrea";NA
"ACROPORA";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Acropora_branching";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Acropora_digitate";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Acropora_encrusting";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Acropora_submassive";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Acropora_tabular";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Algae_other";"Algae";NA;NA;NA;NA
"Anacropora";"Hard living coral";NA;"Acroporidae";"Anacropora";NA
"Astreopora";"Hard living coral";NA;"Acroporidae";"Astreopora";NA
"ASTREOPORA";"Hard living coral";NA;"Acroporidae";"Astreopora";NA
"Bleached coral ";"Hard bleached coral";NA;NA;NA;NA
"Carbonate";"Abiotic";NA;NA;NA;NA
"COELOSERIS";"Hard living coral";NA;"Agariciidae";"Coeloseris";NA
"Coral Acropora branching";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Coral Acropora digitate";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Coral Acropora tabular";"Hard living coral";NA;"Acroporidae";"Acropora";NA
"Coral branching ";"Hard living coral";NA;NA;NA;NA
"Coral encrusting";"Hard living coral";NA;NA;NA;NA
"Coral massive";"Hard living coral";NA;NA;NA;NA
"Coral rock ";"Abiotic";"Rock";NA;NA;NA
"Coral rubble";"Abiotic";"Rubble";NA;NA;NA
"Coralline Algae";"Algae";"Coralline algae";NA;NA;NA
"COSCINARAEA";"Hard living coral";NA;"Coscinaraeidae";"Coscinaraea";NA
"Crustose Coralline";"Algae";"Coralline algae";NA;NA;NA
"Ctenactis";"Hard living coral";NA;"Fungiidae";"Ctenactis";NA
"Cyphastrea";"Hard living coral";NA;"Merulinidae ";"Cyphastrea";NA
"CYPHASTREA";"Hard living coral";NA;"Merulinidae ";"Cyphastrea";NA
"Dead coral";"Hard dead coral";NA;NA;NA;NA
"Diploastrea";"Hard living coral";NA;"Diploastraeidae";"Diploastrea";NA
"DIPLOASTREA";"Hard living coral";NA;"Diploastraeidae";"Diploastrea";NA
"DIPSASTREA";"Hard living coral";NA;"Merulinidae ";"Dipsastraea";NA
"ECHINOPHULLIA and OXYPORA";NA;NA;NA;NA;NA
"Echinophyllia";"Hard living coral";NA;"Lobophylliidae";"Echinophyllia";NA
"Echinopora";"Hard living coral";NA;"Merulinidae ";"Echinopora";NA
