Year;Date;Zone;Location;Site;Lat;Long;Transect;Sum;CAB;CAD;CAT;CB;H;M;CF;CM;CT;TR;CE;CA;CMR;P;SA;SZ;FA;SP;TU;V;W;D;RK;R;S;BC;HCC
2017;15/05/2017;OS;Fuvahmulah;S1;-0.310807;73.414246;1;100;5;0;0;5;0;0;0;15;0;0;10;5;0;0;0;0;5;0;5;0;0;30;0;15;5;0;35
2017;15/05/2017;OS;Fuvahmulah;S1;-0.310807;73.414246;2;100;7;0;0;0;0;0;0;30;0;0;3;5;0;0;0;10;0;0;10;0;0;25;0;0;10;0;40
2017;15/05/2017;OS;Fuvahmulah;S1;-0.310807;73.414246;3;100;3;0;0;7;0;0;0;20;0;0;0;5;0;0;0;3;2;0;5;0;0;45;0;0;10;0;30
2017;16/05/2017;OS;Fuvahmulah;S2;-0.269372;73.430100;1;100;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;30;20;30;0;5;10
2017;16/05/2017;OS;Fuvahmulah;S2;-0.269372;73.430100;2;100;3;2;0;0;0;0;0;0;0;0;5;10;0;0;0;0;10;2;0;0;0;40;15;13;0;0;10
2017;16/05/2017;OS;Fuvahmulah;S2;-0.269372;73.430100;3;100;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;3;0;0;0;80;0;0;0;10;2
2017;16/05/2017;OS;Fuvahmulah;S3;-0.340742;73.448366;1;100;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;20;0;0;60;0;0;0;15;3
2017;16/05/2017;OS;Fuvahmulah;S3;-0.340742;73.448366;2;100;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;2;0;3;0;0;90;0;0;0;0;0
2017;16/05/2017;OS;Fuvahmulah;S3;-0.340742;73.448366;3;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;3;0;0;75;0;0;0;0;0
2017;17/05/2017;OS;Fuvahmulah;S4;-5.899113;80.933336;1;100;0;0;0;5;0;0;0;0;0;0;10;0;0;0;0;0;5;0;0;0;0;60;0;10;5;5;15
2017;17/05/2017;OS;Fuvahmulah;S4;-5.899113;80.933336;2;100;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;10;0;2;0;0;80;0;0;0;2;6
2017;17/05/2017;OS;Fuvahmulah;S4;-5.899113;80.933336;3;100;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0;90;0;0;0;0;0
2017;19/05/2017;LG;Fuvahmulah;S5;-0.319433;73.438374;1;100;0;0;0;0;0;0;0;2;0;0;2;5;0;0;0;0;10;0;6;0;0;25;20;20;10;0;4
2017;19/05/2017;LG;Fuvahmulah;S5;-0.319433;73.438374;2;100;0;0;0;0;0;0;0;10;0;0;5;10;0;0;0;0;0;0;3;0;0;29;20;20;0;3;15
2017;19/05/2017;LG;Fuvahmulah;S5;-0.319433;73.438374;3;100;0;0;0;0;0;0;0;3;0;0;2;3;0;0;0;0;4;0;3;0;0;25;0;40;10;10;5
