"Replicate";"Year";"Country";"Site";"Latitude";"Longitude";"Depth";"Tax_ID";"Cover";"DatasetID";"Area"
"1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";36;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";21;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Macroalgae";24;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Hard coral";7;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Turf algae";12;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";28;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";30;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Macroalgae";19;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Hard coral";19;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Turf algae";4;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";6;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";15;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Macroalgae";14;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Hard coral";41;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Turf algae";24;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Non living";27;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Sponges";11;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Macroalgae";25;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Hard coral";11;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Turf algae";26;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Non living";19;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Sponges";26;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Macroalgae";10;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Hard coral";14;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Turf algae";31;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Non living";29;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Sponges";21;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Macroalgae";16;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Hard coral";13;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;12;"Turf algae";21;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Non living";28;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Sponges";13;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Macroalgae";28;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Hard coral";21;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Turf algae";10;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Non living";27;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Sponges";10;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Macroalgae";25;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Hard coral";27;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Turf algae";11;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Non living";7;"DATA2";"Caribbean"
