"Year";"Date";"Zone";"Location";"Site";"Latitude";"Longitude";"Replicate";"Cover";"Tax_ID";"DatasetID";"Area";"Country";"Archipelago"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;4;"Coral Acropora digitate";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;1;"Coral Acropora tabular";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;9;"Coral branching ";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;25;"Coral massive";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;7;"Coral encrusting";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;7;"Coralline Algae";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;7;"Soft corals zooxanthellatae";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;2;"Fleshy Algae";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;1;"Sponges";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;1;"Others Tunicates";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;20;"Coral rock ";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;11;"Coral rubble";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;1;5;"Sand";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;6;"Coral Acropora digitate";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;1;"Coral Acropora tabular";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;10;"Coral branching ";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;25;"Coral massive";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;4;"Coral encrusting";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;7;"Coralline Algae";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;3;"Soft corals zooxanthellatae";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;2;"Fleshy Algae";"DATA4";"Indian Ocean";"Maldives";"Maldives"
2013;"2013-03-12";"Outer Slope";"Fuvahmulah";"S1";-0,310807;73,414246;2;3;"Sponges";"DATA4";"Indian Ocean";"Maldives";"Maldives"
