Sp;PGI12;PGI13;PGI14;MMI12;MMI13;MMI14;ISL12;ISL13;ISL14
Aetobatus narinari;0;0;0;0;0;0;0;0;0
Gymnothorax funebris;0;0;0;0;0;0;0;0;0
Gymnothorax miliaris;0;0;0;0;0;0;0;0;0
Gymnothorax moringua;0;0;0;0;0;0;0;0;0
Myrichtys breviceps;;;0;0;0;0;0;0;0
Synodus intermedius;0;0;0;0;0;1;0;0;1
Aulostomus maculatus;2;2;1;0;2;0;3;3;1
Scorpaena plumieri;0;0;0;0;0;0;0;0;0
Holocentrus ascencionis;0;0;1;0;0;0;0;0;0
Holocentrus rufus;6;3;0;5;13;9;11;6;2
Myripristis jacobus;47;112;69;99;64;76;64;82;59
Neoniphon marianus;2;2;5;2;1;3;0;4;2
Sargocentron vexillarium;0;0;0;0;0;0;0;0;0
Cephalopholis fulva;3;0;0;0;0;1;0;0;0
Epinephelus cruentatus;7;11;16;12;9;14;9;13;13
Epinephelus ascencionis;0;0;0;0;0;0;0;0;0
Epinephelus guttatus;0;0;0;0;0;0;0;0;0
Epinephelus striatus;0;0;0;0;0;0;2;0;0
Hypoplectrus chlorurus;0;2;0;0;2;3;2;2;1
Hypoplectrus guttavarius;2;0;1;2;3;2;1;2;3
Hypoplectrus nigricans;3;1;1;4;7;1;1;0;2
Hypoplectrus puella;12;16;15;23;17;28;6;21;15
Hypoplectrus unicolor;0;0;0;2;0;2;1;0;0
Hypoplectrus sp (black);2;0;1;0;0;0;0;0;0
Hypoplectrus sp (yellow);0;0;0;0;0;0;0;0;0
Paranthias furcifer;0;0;1;0;0;0;0;0;0
Rypticus saponaceus;0;0;0;0;0;0;0;0;0
Serranus tabacarius;0;0;0;0;0;0;1;0;0
Serranus tigrinus;3;3;0;2;1;3;1;2;1
Gramma loreto;0;0;0;0;0;0;0;0;0
Liopropoma rubre;0;0;0;1;0;0;0;0;0
Heteropriacanthus cruentatus;1;0;0;0;0;0;4;0;0
Priacanthus arenatus;0;0;0;0;0;0;0;0;0
Apogon binotatus;0;0;0;0;0;0;0;0;0
Apogon townsendi;;;0;0;0;;0;0;
Echeneis naucrates;;;0;0;0;0;0;0;0
Gerres cinereus;0;0;0;0;0;0;0;0;0
Caranx crysos;;;0;0;0;0;0;0;0
Caranx latus;0;0;0;0;0;0;0;1;0
Carangoides ruber;1;0;1;2;1;2;4;4;4
Decapterus cf punctatus;0;0;0;0;0;0;0;44;0
Decapterus macarellus;0;0;0;0;0;0;0;0;0
Elagatis bipinnulatus;0;0;0;0;0;0;0;0;0
Selar crumenophthalmus;;;0;0;0;0;0;0;0
Ocyurus chrysurus;4;2;2;2;15;12;26;18;4
Lutjanus analis;0;0;0;0;0;0;0;0;0
Lutjanus apodus;3;0;0;0;2;0;0;0;0
Lutjanus griseus;3;1;1;0;3;1;0;0;0
Lutjanus jocu;0;0;0;0;0;0;0;0;0
Lutjanus mahogoni;1;0;0;0;0;0;0;0;0
Anisotremus surinamensis;;;0;0;0;0;0;0;0
Anisotremus virginicus;0;0;0;0;0;0;0;0;0
Haemulon aurolineatum;0;2;0;0;0;0;2;0;0
Haemulon carbonarium;2;0;0;0;1;0;0;0;0
