"Year";"Date";"Site";"Replicate";"Tax_ID";"Size";"Density";"Latitude";"Longitude";"Observer";"Depth";"DatasetID";"Area";"Country";"Location";"Method"
2017;2017-05-03;"Cayo Sal";1;"Abudefduf saxatilis";10;40;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Acanthostracion polygonia";24;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Acanthostracion polygonia";34;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Acanthurus bahianus";17;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Acanthurus coeruleus";19;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Anisotremus surinamensis";35;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Aulostomus maculatus";40;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Aulostomus maculatus";41;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Cantherhines macrocerus";32;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Cephalopholis cruentata";25;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Cephalopholis cruentata";26;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Cephalopholis fulva";18;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Chaetodan striatus";12;2;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Chromis cyanea";8;3;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Chromis multilineata";3;7;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Chromis multilineata";6;150;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Chromis multilineata";13;50;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Equetus punctatus";15;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Haemulon flavolineatum";12;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Haemulon flavolineatum";20;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Haemulon flavolineatum";21;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Haemulon flavolineatum";25;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Halichoeres garnoti";10;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Halichoeres garnoti";12;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Halichoeres garnoti";14;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Halichoeres radiatus";12;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Halichoeres radiatus";23;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Holacanthus tricolour";15;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Holacanthus tricolour";32;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Holocentrus adsensionis";12;5;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Holocentrus adsensionis";16;5;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Holocentrus rufus";18;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Holocentrus rufus";23;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Lutjanus mahogoni";20;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Mulloidichthys martinicus";18;2;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Myripristis jacobus";20;2;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Myripristis jacobus";21;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Ocyurus chrysurus";20;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Ocyurus chrysurus";40;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Pomacanthus paru";31;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus iseri";10;2;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus iseri";18;2;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus iseri";19;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus iseri";20;2;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus iseri";30;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus taeniopterus";23;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus taeniopterus";28;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus taeniopterus";30;3;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus vetula";40;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Scarus vetula";42;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Sparisoma aurofrenatum";12;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Sparisoma aurofrenatum";19;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Sparisoma aurofrenatum";22;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Sparisoma aurofrenatum";26;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
2017;2017-05-03;"Cayo Sal";1;"Sparisoma viride";30;1;"10.946654";"-68.256912";"JM";5;"DATA1";"Caribbean";"Venezuela";"Chichiriviche";"Belt transect"
