"Tax_ID";"Density";"Year";"Site";"Latitude";"Longitude";"DatasetID";"Area";"Country";"Method";"Size_type"
"Synodus intermedius";1;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Synodus intermedius";1;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Aulostomus maculatus";2;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Aulostomus maculatus";2;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Aulostomus maculatus";1;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Aulostomus maculatus";2;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Aulostomus maculatus";3;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Aulostomus maculatus";3;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Aulostomus maculatus";1;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus ascencionis";1;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus rufus";6;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus rufus";3;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus rufus";5;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus rufus";13;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus rufus";9;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus rufus";11;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus rufus";6;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Holocentrus rufus";2;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";47;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";112;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";69;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";99;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";64;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";76;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";64;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";82;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Myripristis jacobus";59;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Neoniphon marianus";2;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Neoniphon marianus";2;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Neoniphon marianus";5;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Neoniphon marianus";2;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Neoniphon marianus";1;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Neoniphon marianus";3;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Neoniphon marianus";4;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Neoniphon marianus";2;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Cephalopholis fulva";3;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Cephalopholis fulva";1;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";7;"2012";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";11;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";16;"2014";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";12;"2012";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";9;"2013";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";14;"2014";"Maria Major Island";13,723476;-60,934343;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";9;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";13;"2013";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus cruentatus";13;"2014";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Epinephelus striatus";2;"2012";"L'Islet Point";13,773127;-60,903325;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
"Hypoplectrus chlorurus";2;"2013";"Pigeon Island";14,093786;-60,966858;"DATA2";"Caribbean";"St. Lucia";"Belt transect";"Total length"
