"Year";"Date";"Observer";"Replicate";"Density";"Size";"Site";"Location";"Latitude";"Longitude";"Depth";"Zone";"Tax_ID";"DatasetID";"Area";"Archipelago";"Country";"Method"
2016;2016-04-12;"RA";2;310;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis acares";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;30;2;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis acares";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;80;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis acares";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;10;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis acares";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;60;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis iomelas";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;10;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis iomelas";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;11;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis xanthura";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;8;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis xanthura";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;3;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis xanthura";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;7;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge flavissima";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge flavissima";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;7;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge flavissima";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;6;5;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge flavissima";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge flavissima";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge flavissima";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Plectroglyphidodon lacrymatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Plectroglyphidodon lacrymatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;7;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Plectroglyphidodon lacrymatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;5;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Plectroglyphidodon lacrymatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Plectroglyphidodon lacrymatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;3;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Plectroglyphidodon johnstonianus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;5;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Plectroglyphidodon johnstonianus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge bispinosa";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;7;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge bispinosa";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;4;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chaetodon pelewensis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chaetodon pelewensis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chaetodon pelewensis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;12;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Balistapus undulatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Balistapus undulatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;18;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Balistapus undulatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;13;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ctenochaetus binotatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ctenochaetus binotatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ctenochaetus binotatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;14;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ctenochaetus binotatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;12;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ctenochaetus flavicauda";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;3;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ctenochaetus flavicauda";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;4;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ctenochaetus flavicauda";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;23;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Odonus niger";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;3;22;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Odonus niger";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;15;18;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Odonus niger";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;20;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Melichthys vidua";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;21;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Melichthys vidua";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;3;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Dascyllus flavicaudus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;3;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Dascyllus flavicaudus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;4;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Dascyllus flavicaudus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;3;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis margaritifer";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
