"Tax_ID";"Size";"Density";"Site";"Latitude";"Longitude";"Depth";"Zone";"Year";"Method";"Replicate";"DatasetID";"Area";"Country";"Archipelago";"Size_type"
"Acanthurus nigricans";14;2;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Acanthurus pyroferus";15;1;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Acanthurus pyroferus";17;1;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Aethaloperca rogaa";21;1;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Balistapus undulatus";10;1;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Balistapus undulatus";16;1;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Centropyge bicolor";9;1;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Centropyge bicolor";10;3;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Cephalopholis urodeta";20;1;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Chaetodon pelewensis";8;2;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Chaetodon trifascialis";10;4;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
"Chaetodon ulietensis";8;2;"Batiki Island";-17,786995;179,138572;3;"Lagoon";2019;"Visual Point Count";"1";"DATA5";"Pacific";"Republic of Fiji";"Fiji Islands";"Total length"
