"DatasetID";"Area";"Country";"Archipelago";"Location";"Site";"Replicate";"Zone";"Latitude";"Longitude";"Depth";"Year";"Date";"Method";"Observer";"Family";"Genus";"Species";"Size";"Density"
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus chirurgus";15;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus chirurgus";16;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus chirurgus";18;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus chirurgus";19;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus coeruleus";14;3
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus coeruleus";16;2
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus coeruleus";17;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Balistidae";"Melichthys";"Melichthys niger";18;18
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Balistidae";"Melichthys";"Melichthys niger";24;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Carangidae";"Caranx";"Caranx latus";23;2
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Carangidae";"Caranx";"Caranx ruber";15;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Carangidae";"Caranx";"Caranx ruber";19;2
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Carangidae";"Caranx";"Caranx ruber";24;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Chaetodontidae";"Chaetodon";"Chaetodon capistratus";6;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Chaetodontidae";"Chaetodon";"Chaetodon striatus";12;2
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Diodontidae";"Diodon";"Diodon hystrix";30;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Gerreidae";"Gerres";"Gerres cinereus";21;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Haemulidae";"Haemulon";"Haemulon flavolineatum";18;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Holocentridae";"Holocentrus";"Holocentrus adscensionis";16;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Labridae";"Bodianus";"Bodianus rufus";22;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Labridae";"Clepticus";"Clepticus parrae";8;10
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Labridae";"Halichoeres";"Halichoeres garnoti";12;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Lutjanidae";"Lutjanus";"Lutjanus apodus";32;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Lutjanidae";"Ocyurus";"Ocyurus chrysurus";40;1
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";1;NA;10,926982;-68,258696;12;2017;"2017-08-03";"Belt transect";"PNL";"Mullidae";"Mulloidichthys";"Mulloidichthys martinicus";17;1
