"DatasetID";"Area";"Country";"Archipelago";"Location";"Site";"Zone";"Latitude";"Longitude";"Depth";"Year";"Date";"Replicate";"Method";"Observer";"Family";"Genus";"Species";"Density";"Size"
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus chirurgus";1;15
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus chirurgus";1;16
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus chirurgus";1;18
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus chirurgus";1;19
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus coeruleus";3;14
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus coeruleus";2;16
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Acanthuridae";"Acanthurus";"Acanthurus coeruleus";1;17
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Balistidae";"Melichthys";"Melichthys niger";18;18
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Balistidae";"Melichthys";"Melichthys niger";1;24
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Carangidae";"Caranx";"Caranx latus";2;23
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Carangidae";"Caranx";"Caranx ruber";1;15
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Carangidae";"Caranx";"Caranx ruber";2;19
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Carangidae";"Caranx";"Caranx ruber";1;24
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Chaetodontidae";"Chaetodon";"Chaetodon capistratus";1;6
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Chaetodontidae";"Chaetodon";"Chaetodon striatus";2;12
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Diodontidae";"Diodon";"Diodon hystrix";1;30
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Gerreidae";"Gerres";"Gerres cinereus";1;21
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Haemulidae";"Haemulon";"Haemulon flavolineatum";1;18
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Holocentridae";"Holocentrus";"Holocentrus adscensionis";1;16
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Labridae";"Bodianus";"Bodianus rufus";1;22
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Labridae";"Clepticus";"Clepticus parrae";10;8
"DATA1";"Caribbean";"Venezuela";NA;"Chichiriviche";"Cayo Muerto";NA;10,926982;-68,258696;12;2017;"2017-08-03";1;"Belt transect";"PNL";"Labridae";"Halichoeres";"Halichoeres garnoti";1;12
